collectionday,propnum,nextwaste,nextrecycle,nextgreen,address
Thursday 1,2039252,26-07-2018,02-08-2018,26-07-2018,1 Altieri Place BALLARAT EAST  VIC  3350
Tuesday 2,2039253,31-07-2018,07-08-2018,31-07-2018,201 Seymour Street SOLDIERS HILL  VIC  3350
Tuesday 2,2039254,31-07-2018,07-08-2018,31-07-2018,203 Seymour Street SOLDIERS HILL  VIC  3350
Monday 1,2039256,30-07-2018,30-07-2018,06-08-2018,11 Stirling Drive LAKE GARDENS  VIC  3355
Monday 1,2039257,30-07-2018,30-07-2018,06-08-2018,24 Stirling Drive LAKE GARDENS  VIC  3355
Wednesday 1,2039258,01-08-2018,01-08-2018,08-08-2018,706 Lal Lal Street BUNINYONG  VIC  3357
Monday 1,2039259,30-07-2018,30-07-2018,06-08-2018,36 Stirling Drive LAKE GARDENS  VIC  3355
Monday 1,2039261,30-07-2018,30-07-2018,06-08-2018,7 Twyford Avenue LAKE GARDENS  VIC  3355
Monday 1,2039262,30-07-2018,30-07-2018,06-08-2018,5 Twyford Avenue LAKE GARDENS  VIC  3355
Monday 1,2039263,30-07-2018,30-07-2018,06-08-2018,3 Twyford Avenue LAKE GARDENS  VIC  3355
Wednesday 2,2039267,01-08-2018,08-08-2018,01-08-2018,74 Wicklow Drive INVERMAY PARK  VIC  3350
Wednesday 2,2039268,01-08-2018,08-08-2018,01-08-2018,55 Wicklow Drive INVERMAY PARK  VIC  3350
Wednesday 2,2039269,01-08-2018,08-08-2018,01-08-2018,80 Wicklow Drive INVERMAY PARK  VIC  3350
Wednesday 2,2039270,01-08-2018,08-08-2018,01-08-2018,78 Wicklow Drive INVERMAY PARK  VIC  3350
Wednesday 1,2039271,01-08-2018,01-08-2018,,277 Webbs Hill Road BUNINYONG  VIC  3357
Thursday 1,2039272,26-07-2018,02-08-2018,26-07-2018,9 Altieri Place BALLARAT EAST  VIC  3350
Wednesday 2,2039273,01-08-2018,08-08-2018,01-08-2018,15 Kerry Way INVERMAY PARK  VIC  3350
Tuesday 1,2039276,31-07-2018,31-07-2018,,12A Ballarat - Carngham Road ALFREDTON  VIC  3350
Tuesday 1,2039277,31-07-2018,31-07-2018,,14 Ballarat - Carngham Road ALFREDTON  VIC  3350
